index,string,CC,D,Y
1,1836,0,3,6
2,1836,0,3,6
3,1840,0,4,0
4,1840,0,4,0
5,1823,0,2,3
6,1823,0,2,3
7,59,1,10,10
8,61,1,10,10
9,62,1,10,10
10,63,1,10,10
11,65,1,10,10
12,1830,0,3,0
13,2226,1,2,6
14,1831,0,3,1
15,2728,1,2,8
16,1213,1,1,3
17,2627,1,2,7
18,2831,1,3,1
19,1112,1,1,2
20,1834,0,3,4
21,1834,0,3,4
22,1834,0,3,4
23,1834,0,3,4
24,1834,0,3,4
25,1834,0,3,4
26,1834,0,3,4
27,1834,0,3,4
28,1834,0,3,4
29,1835,0,3,5
30,1835,0,3,5
31,1835,0,3,5
32,1835,0,3,5
33,1835,0,3,5
34,1835,0,3,5
35,1835,0,3,5
36,1823,0,2,3
37,1823,0,2,3
38,1835,0,3,5
39,1835,0,3,5
40,1800,0,0,0
41,1801,0,0,1
42,1835,0,3,5
43,1835,0,3,5
44,1835,0,3,5
45,1835,0,3,5
46,1836,0,3,6
47,1836,0,3,6
48,1836,0,3,6
49,1836,0,3,6
50,1836,0,3,6
51,1836,0,3,6
52,1836,0,3,6
53,1836,0,3,6
54,1836,0,3,6
55,1836,0,3,6
56,1836,0,3,6
57,1836,0,3,6
58,1837,0,3,7
59,1837,0,3,7
60,1823,0,2,3
61,1823,0,2,3
62,1802,0,0,2
63,1802,0,0,2
64,1837,0,3,7
65,1837,0,3,7
66,1837,0,3,7
67,1837,0,3,7
68,1837,0,3,7
69,1837,0,3,7
70,1837,0,3,7
71,1838,0,3,8
72,1838,0,3,8
73,1838,0,3,8
74,1838,0,3,8
75,1838,0,3,8
76,1838,0,3,8
77,1838,0,3,8
78,1838,0,3,8
79,1838,0,3,8
80,1838,0,3,8
81,1838,0,3,8
82,1839,0,3,9
83,1839,0,3,9
84,1803,0,0,3
85,1803,0,0,3
86,1804,0,0,4
87,1823,0,2,3
88,1823,0,2,3
89,1839,0,3,9
90,1839,0,3,9
91,1839,0,3,9
92,1839,0,3,9
93,1839,0,3,9
94,1839,0,3,9
95,1839,0,3,9
96,1839,0,3,9
97,1840,0,4,0
98,1840,0,4,0
99,1840,0,4,0
100,1840,0,4,0
101,1840,0,4,0
102,1840,0,4,0
103,1840,0,4,0
104,1840,0,4,0
105,1840,0,4,0
106,1840,0,4,0
107,1805,0,0,5
108,1804,0,0,4
109,1804,0,0,4
110,1840,0,4,0
111,1840,0,4,0
112,1800,0,0,0
113,1800,0,0,0
114,1801,0,0,1
115,1801,0,0,1
116,1801,0,0,1
117,1801,0,0,1
118,1801,0,0,1
119,1802,0,0,2
120,1802,0,0,2
121,1802,0,0,2
122,1802,0,0,2
123,1803,0,0,3
124,1803,0,0,3
125,1803,0,0,3
126,1803,0,0,3
127,1804,0,0,4
128,1804,0,0,4
129,1806,0,0,6
130,1806,0,0,6
131,1805,0,0,5
132,1804,0,0,4
133,1804,0,0,4
134,1805,0,0,5
135,1805,0,0,5
136,1805,0,0,5
137,1805,0,0,5
138,1805,0,0,5
139,1805,0,0,5
140,1805,0,0,5
141,1805,0,0,5
142,1806,0,0,6
143,1806,0,0,6
144,1806,0,0,6
145,1806,0,0,6
146,1806,0,0,6
147,1806,0,0,6
148,1807,0,0,7
149,1807,0,0,7
150,1807,0,0,7
151,1807,0,0,7
152,1806,0,0,6
153,1807,0,0,7
154,1807,0,0,7
155,1807,0,0,7
156,1807,0,0,7
157,1807,0,0,7
158,1808,0,0,8
159,1808,0,0,8
160,1808,0,0,8
161,1808,0,0,8
162,1808,0,0,8
163,1809,0,0,9
164,1809,0,0,9
165,1809,0,0,9
166,1809,0,0,9
167,1810,0,1,0
168,1811,0,1,1
169,1811,0,1,1
170,1811,0,1,1
171,1812,0,1,2
172,1805,0,0,5
173,1818,0,1,8
174,1813,0,1,3
175,1807,0,0,7
176,1808,0,0,8
177,1807,0,0,7
178,1813,0,1,3
179,1814,0,1,4
180,1814,0,1,4
181,1817,0,1,7
182,1817,0,1,7
183,1817,0,1,7
184,1817,0,1,7
185,1818,0,1,8
186,1818,0,1,8
187,1818,0,1,8
188,1818,0,1,8
189,1818,0,1,8
190,1818,0,1,8
191,1818,0,1,8
192,1818,0,1,8
193,1818,0,1,8
194,1818,0,1,8
195,1818,0,1,8
196,1818,0,1,8
197,1818,0,1,8
198,1819,0,1,9
199,1818,0,1,8
200,1819,0,1,9
201,1819,0,1,9
202,1819,0,1,9
203,1819,0,1,9
204,1819,0,1,9
205,1819,0,1,9
206,1818,0,1,8
207,1819,0,1,9
208,1819,0,1,9
209,1819,0,1,9
210,1819,0,1,9
211,1819,0,1,9
212,1819,0,1,9
213,1819,0,1,9
214,1819,0,1,9
215,1820,0,2,0
216,1820,0,2,0
217,1820,0,2,0
218,1808,0,0,8
219,1821,0,2,1
220,1822,0,2,2
221,1822,0,2,2
222,1822,0,2,2
223,1822,0,2,2
224,1822,0,2,2
225,1823,0,2,3
226,1823,0,2,3
227,1823,0,2,3
228,1823,0,2,3
229,1824,0,2,4
230,1824,0,2,4
231,1824,0,2,4
232,1824,0,2,4
233,1825,0,2,5
234,1825,0,2,5
235,1825,0,2,5
236,1825,0,2,5
237,1826,0,2,6
238,1826,0,2,6
239,1826,0,2,6
240,1827,0,2,7
241,1809,0,0,9
242,1809,0,0,9
243,1827,0,2,7
244,1827,0,2,7
245,1828,0,2,8
246,1828,0,2,8
247,1828,0,2,8
248,1828,0,2,8
249,1828,0,2,8
250,1828,0,2,8
251,1829,0,2,9
252,1829,0,2,9
253,1829,0,2,9
254,1829,0,2,9
255,1830,0,3,0
256,1830,0,3,0
257,1830,0,3,0
258,1831,0,3,1
259,1831,0,3,1
260,1831,0,3,1
261,1831,0,3,1
262,1832,0,3,2
263,1823,0,2,3
264,1823,0,2,3
265,96,1,10,10
266,75,1,10,10
267,78,1,10,10
268,1810,0,1,0
269,1810,0,1,0
270,1920,1,2,0
271,1520,1,2,0
272,1832,0,3,2
273,1832,0,3,2
274,1832,0,3,2
275,1833,0,3,3
276,1833,0,3,3
277,1833,0,3,3
278,1833,0,3,3
279,1834,0,3,4
280,1834,0,3,4
281,1834,0,3,4
282,1834,0,3,4
283,1834,0,3,4
284,1835,0,3,5
285,1835,0,3,5
286,1835,0,3,5
287,1835,0,3,5
288,1835,0,3,5
289,1835,0,3,5
290,1836,0,3,6
291,1836,0,3,6
292,1810,0,1,0
293,1810,0,1,0
294,1811,0,1,1
295,1837,0,3,7
296,1838,0,3,8
297,1838,0,3,8
298,1839,0,3,9
299,1839,0,3,9
300,1839,0,3,9
301,1839,0,3,9
302,1839,0,3,9
303,1840,0,4,0
304,1840,0,4,0
305,1840,0,4,0
306,1840,0,4,0
307,1840,0,4,0
308,1841,0,4,1
309,1815,0,1,5
310,1815,0,1,5
311,1816,0,1,6
312,1811,0,1,1
313,1817,0,1,7
314,1817,0,1,7
315,1817,0,1,7
316,1817,0,1,7
317,1817,0,1,7
318,1804,0,0,4
319,1804,0,0,4
320,1804,0,0,4
321,1804,0,0,4
322,1804,0,0,4
323,1804,0,0,4
324,1804,0,0,4
325,1804,0,0,4
326,1804,0,0,4
327,1804,0,0,4
328,1804,0,0,4
329,1804,0,0,4
330,1805,0,0,5
