iter	MultiClass
0	2.3600619
1	2.325743357
2	2.297099559
3	2.271564992
4	2.246042379
5	2.222063192
6	2.201664734
7	2.181232707
8	2.162636058
9	2.144234721
10	2.126973216
11	2.109933472
12	2.093255488
13	2.080502574
14	2.066465886
15	2.051241938
16	2.039244843
17	2.027966817
18	2.014083862
19	2.000400035
20	1.987528737
21	1.973946508
22	1.963468933
23	1.953483327
24	1.93991038
25	1.928815842
26	1.918068695
27	1.904733785
28	1.893905004
29	1.884443537
30	1.87465833
31	1.865331777
32	1.858390172
33	1.846201324
34	1.835070801
35	1.825797399
36	1.816940435
37	1.810235596
38	1.800846227
39	1.79457016
40	1.787369792
41	1.781859207
42	1.77256279
43	1.762769699
44	1.755008698
45	1.747518539
46	1.741794586
47	1.731950633
48	1.727126567
49	1.719438807
50	1.712084198
51	1.707476425
52	1.698137538
53	1.691614532
54	1.68523318
55	1.67702624
56	1.668412781
57	1.662338003
58	1.655413691
59	1.649044418
60	1.642281977
61	1.635562897
62	1.627640025
63	1.621946462
64	1.614640427
65	1.6086483
66	1.601561228
67	1.594993846
68	1.588300196
69	1.580204264
70	1.576225662
71	1.570519129
72	1.561817169
73	1.557152557
74	1.548154449
75	1.545499547
76	1.539192835
77	1.534684753
78	1.528180059
79	1.520516459
80	1.517134857
81	1.511734009
82	1.507343801
83	1.501331965
84	1.494318517
85	1.487682088
86	1.481042099
87	1.475138855
88	1.470675659
89	1.464366659
90	1.458403142
91	1.453212484
92	1.446864192
93	1.441707993
94	1.437007777
95	1.432507833
96	1.427040736
97	1.422798411
98	1.418852615
99	1.41582311
100	1.412833532
101	1.409662755
102	1.403886922
103	1.399523544
104	1.394931666
105	1.39106458
106	1.386737823
107	1.380928294
108	1.376260503
109	1.371925863
110	1.364981715
111	1.360528056
112	1.353904343
113	1.350268046
114	1.345856984
115	1.341585286
116	1.339293543
117	1.333682378
118	1.329659526
119	1.325720723
120	1.319716263
121	1.317321905
122	1.314419174
123	1.313222631
124	1.307440567
125	1.302732976
126	1.299768066
127	1.294090907
128	1.290934118
129	1.284871292
130	1.280635452
131	1.276401265
132	1.273128255
133	1.269907888
134	1.266861216
135	1.2635952
136	1.261423747
137	1.255390803
138	1.251201375
139	1.248288472
140	1.244731649
141	1.241390864
142	1.237486649
143	1.234010315
144	1.230480576
145	1.22694753
146	1.223321152
147	1.219171778
148	1.214416377
149	1.212174479
150	1.209486771
151	1.205456543
152	1.202150726
153	1.198829778
154	1.196054077
155	1.193294271
156	1.191678111
157	1.188658524
158	1.187407557
159	1.184743881
160	1.182267507
161	1.180336889
162	1.178259023
163	1.175270589
164	1.171092606
165	1.168678157
166	1.16658287
167	1.163350042
168	1.158904266
169	1.155355072
170	1.152791977
171	1.150428391
172	1.147041321
173	1.143982569
174	1.139917374
175	1.137788773
176	1.135295995
177	1.133920415
178	1.130443064
179	1.127583313
180	1.125297674
181	1.121970113
182	1.118989563
183	1.116921743
184	1.114162572
185	1.109584681
186	1.107389069
187	1.104557037
188	1.101838175
189	1.098864237
190	1.094384384
191	1.092048009
192	1.090650686
193	1.088425446
194	1.08612264
195	1.083739471
196	1.081232452
197	1.080292511
198	1.076678467
199	1.072906621
200	1.070652898
201	1.06669693
202	1.064703941
203	1.062562052
204	1.061218389
205	1.060751597
206	1.058207703
207	1.055131404
208	1.05361379
209	1.050197856
210	1.046927516
211	1.044160271
212	1.041824468
213	1.039118067
214	1.037601662
215	1.035538228
216	1.034257507
217	1.032553991
218	1.029717509
219	1.027310562
220	1.025906118
221	1.02335523
222	1.022068469
223	1.020238813
224	1.017861048
225	1.016729863
226	1.014750163
227	1.012978745
228	1.01169548
229	1.009976578
230	1.007773272
231	1.006653468
232	1.006149483
233	1.004058901
234	1.002566973
235	1.00090332
236	1.0000995
237	0.9985556285
238	0.9973258336
239	0.9946281433
240	0.992499733
241	0.9907491048
242	0.9894949595
243	0.9879326502
244	0.9875137329
245	0.9846256256
246	0.9819383621
247	0.9804976781
248	0.9797080358
249	0.9783749262
250	0.9751101176
251	0.9731426239
252	0.970100975
253	0.9672022502
254	0.9661243439
255	0.9636614482
256	0.9615576426
257	0.9603716532
258	0.9589490891
259	0.9555494944
260	0.9541044871
261	0.9520878474
262	0.9502921422
263	0.9472207387
264	0.94444561
265	0.942544047
266	0.9408902486
267	0.9378087362
268	0.9365650813
269	0.9356904348
270	0.9343549093
271	0.9317422231
272	0.9287216187
273	0.9273317973
274	0.9259750366
275	0.924711291
276	0.9241113027
277	0.9223976135
278	0.9207371394
279	0.9196653366
280	0.9168055852
281	0.9147788366
282	0.9131222407
283	0.911417071
284	0.9091851552
285	0.9072771072
286	0.9060016632
287	0.9050912221
288	0.9038047791
289	0.9019829432
290	0.8996690114
291	0.8979445775
292	0.896971639
293	0.8958755493
294	0.8934680939
295	0.8921598434
296	0.8901526769
297	0.8892420451
298	0.8873620987
299	0.885727183
300	0.8843964895
301	0.8827126185
302	0.8818536123
303	0.8808623632
304	0.8799025853
