iter	Passed	Remaining
0	396	197757
1	764	190303
2	1123	186047
3	1490	184817
4	1854	183615
5	2222	182962
6	2581	181829
7	2945	181177
8	3311	180651
9	3673	180004
10	4034	179364
11	4396	178802
12	4758	178273
13	5118	177694
14	5476	177085
15	5841	176705
16	6202	176221
17	6563	175760
18	6921	175215
19	7285	174849
20	7654	174605
21	8021	174286
22	8382	173838
23	8744	173434
24	9106	173017
25	9467	172592
26	9835	172294
27	10207	172061
28	10570	171683
29	10930	171248
30	11290	170819
31	11653	170437
32	12009	169949
33	12375	169613
34	12743	169305
35	13103	168894
36	13467	168528
37	13808	167883
38	14177	167588
39	14532	167128
40	14898	166790
41	15246	166256
42	15611	165914
43	15975	165562
44	16333	165150
45	16683	164663
46	17016	164006
47	17378	163650
48	17728	163171
49	18087	162784
50	18448	162415
51	18791	161893
52	19155	161558
53	19509	161135
54	19858	160672
55	20226	160365
56	20586	159999
57	20946	159623
58	21306	159259
59	21659	158839
60	22017	158450
61	22379	158102
62	22751	157813
63	23095	157336
64	23456	156977
65	23812	156584
66	24176	156243
67	24532	155856
68	24887	155457
69	25252	155122
70	25588	154612
71	25950	154259
72	26318	153945
73	26673	153550
74	27044	153249
75	27374	152719
76	27734	152362
77	28090	151978
78	28458	151661
79	28825	151333
80	29166	150875
81	29526	150512
82	29872	150080
83	30235	149736
84	30596	149383
85	30958	149031
86	31319	148675
87	31678	148314
88	32039	147959
89	32401	147608
90	32763	147257
91	33111	146842
92	33472	146489
93	33829	146116
94	34192	145769
95	34533	145327
96	34892	144967
97	35253	144611
98	35610	144241
99	35943	143774
100	36263	143260
101	36586	142757
102	36948	142414
103	37309	142063
104	37667	141703
105	38021	141326
106	38373	140943
107	38736	140599
108	39084	140203
109	39438	139827
110	39801	139483
111	40159	139122
112	40529	138805
113	40832	138258
114	41196	137918
115	41552	137554
116	41892	137136
117	42258	136804
118	42614	136436
119	42916	135902
120	43283	135573
121	43594	135070
122	43933	134658
123	44205	134043
124	44564	133694
125	44922	133340
126	45201	132757
127	45565	132424
128	45918	132059
129	46285	131736
130	46607	131283
131	46930	130836
132	47238	130350
133	47573	129938
134	47850	129372
135	48156	128889
136	48456	128391
137	48827	128084
138	49175	127713
139	49482	127240
140	49837	126891
141	50127	126377
142	50470	125998
143	50753	125474
144	51099	125105
145	51426	124691
146	51781	124346
147	52070	123842
148	52431	123512
149	52704	122977
150	53044	122598
151	53409	122278
152	53769	121948
153	54108	121568
154	54467	121234
155	54771	120778
156	55028	120221
157	55379	119872
158	55639	119328
159	55978	118954
160	56303	118552
161	56580	118049
162	56859	117555
163	57220	117231
164	57582	116909
165	57935	116569
166	58282	116215
167	58607	115820
168	58977	115512
169	59318	115146
170	59672	114808
171	60011	114440
172	60358	114088
173	60718	113760
174	61082	113438
175	61409	113048
176	61702	112597
177	61981	112123
178	62292	111708
179	62638	111357
180	62975	110989
181	63339	110670
182	63685	110319
183	64015	109939
184	64338	109548
185	64705	109234
186	65048	108878
187	65393	108525
188	65703	108115
189	66034	107740
190	66367	107369
191	66647	106913
192	66978	106540
193	67275	106115
194	67603	105739
195	67943	105382
196	68290	105035
197	68594	104623
198	68921	104248
199	69249	103874
200	69565	103482
201	69937	103175
202	70209	102720
203	70500	102294
204	70787	101864
205	71094	101464
206	71375	101029
207	71701	100658
208	72003	100254
209	72363	99929
210	72722	99606
211	73007	99179
212	73306	98773
213	73585	98343
214	73851	97896
215	74180	97533
216	74456	97101
217	74774	96727
218	75136	96408
219	75466	96048
220	75791	95682
221	76135	95341
222	76417	94922
223	76717	94526
224	76991	94100
225	77262	93671
226	77583	93304
227	77926	92965
228	78271	92626
229	78577	92242
230	78863	91836
231	79138	91419
232	79387	90972
233	79751	90658
234	80013	90227
235	80317	89846
236	80587	89427
237	80895	89052
238	81186	88659
239	81491	88282
240	81819	87930
241	82123	87553
242	82421	87170
243	82753	86823
244	83014	86402
245	83371	86083
246	83711	85745
247	83983	85338
248	84228	84905
249	84570	84570
250	84905	84229
251	85239	83886
252	85558	83529
253	85921	83214
254	86232	82850
255	86558	82500
256	86826	82096
257	87139	81735
258	87454	81376
259	87793	81040
260	88122	80694
261	88434	80333
262	88774	79998
263	89135	79682
264	89488	79357
265	89785	78983
266	90122	78646
267	90439	78290
268	90722	77906
269	90995	77515
270	91291	77143
271	91648	76822
272	91955	76460
273	92225	76069
274	92497	75679
275	92803	75318
276	93054	74913
277	93407	74591
278	93726	74242
279	94075	73916
280	94439	73602
281	94790	73277
282	95081	72906
283	95424	72576
284	95720	72209
285	96042	71863
286	96321	71485
287	96605	71112
288	96907	70752
289	97236	70412
290	97567	70073
291	97872	69717
292	98152	69343
293	98443	68977
294	98748	68621
295	99038	68256
296	99374	67922
297	99690	67575
298	100026	67242
299	100378	66919
300	100683	66564
301	100998	66217
302	101265	65839
303	101552	65474
304	101838	65110
305	102139	64755
306	102422	64389
307	102742	64047
308	103013	63675
309	103342	63339
310	103657	62994
311	103983	62656
312	104239	62277
313	104528	61918
314	104804	61551
315	105104	61199
316	105433	60865
317	105733	60514
318	106014	60152
319	106303	59795
320	106583	59434
321	106912	59100
322	107249	58771
323	107583	58440
324	107878	58088
325	108229	57766
326	108561	57434
327	108868	57089
328	109216	56765
329	109520	56419
330	109826	56074
331	110107	55717
332	110424	55378
333	110729	55033
334	111041	54692
335	111317	54333
336	111660	54007
337	111927	53645
338	112249	53310
339	112524	52952
340	112837	52613
341	113158	52277
342	113446	51927
343	113742	51580
344	114011	51222
345	114351	50896
346	114670	50560
347	114971	50217
348	115313	49892
349	115639	49559
350	115912	49204
351	116190	48853
352	116548	48534
353	116855	48194
354	117144	47847
355	117436	47502
356	117702	47147
357	118012	46809
358	118295	46461
359	118570	46110
360	118895	45779
361	119224	45450
362	119509	45104
363	119864	44784
364	120182	44451
365	120509	44120
366	120849	43795
367	121160	43459
368	121430	43109
369	121743	42774
370	122033	42432
371	122373	42106
372	122627	41752
373	122927	41414
374	123216	41072
375	123575	40753
376	123856	40409
377	124112	40057
378	124364	39704
379	124680	39372
380	124954	39027
381	125248	38689
382	125562	38357
383	125867	38022
384	126174	37688
385	126443	37343
386	126760	37012
387	127037	36670
388	127376	36346
389	127689	36014
390	127981	35677
391	128273	35340
392	128552	35000
393	128856	34666
394	129139	34328
395	129440	33994
396	129753	33664
397	130064	33333
398	130334	32991
399	130632	32658
400	130941	32327
401	131235	31992
402	131482	31647
403	131798	31318
404	132069	30979
405	132347	30642
406	132678	30317
407	133010	29992
408	133334	29666
409	133639	29335
410	133934	29002
411	134204	28664
412	134483	28329
413	134792	28000
414	135079	27666
415	135364	27333
416	135665	27002
417	135968	26673
418	136247	26338
419	136524	26004
420	136822	25674
421	137126	25345
422	137448	25020
423	137716	24684
424	138074	24366
